Name,Url,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
Pau Gasol,https://www.basketball-reference.com/players/g/gasolpa01.html,77,23.5,3.7,8.1,0.458,0.6,1.6,0.358,3.2,6.6,0.481,0.492,2.1,2.7,0.756,1.7,6.4,8,3.1,0.3,1,1.4,1.6,10.1,5
Rudy Gay,https://www.basketball-reference.com/players/g/gayru01.html,57,21.6,4.4,9.4,0.471,0.6,2.1,0.314,3.8,7.4,0.516,0.506,2,2.5,0.772,1.3,3.8,5.1,1.3,0.8,0.7,1.4,1.7,11.5,4
Paul George,https://www.basketball-reference.com/players/g/georgpa01.html,79,36.6,7.3,16.9,0.43,3.1,7.7,0.401,4.2,9.3,0.454,0.521,4.3,5.2,0.82,0.9,4.7,5.7,3.3,2,0.5,2.7,2.9,21.9,3
Taj Gibson,https://www.basketball-reference.com/players/g/gibsota01.html,82,33.2,5.2,9,0.577,0.1,0.4,0.2,5.1,8.6,0.595,0.581,1.7,2.3,0.768,2.4,4.8,7.1,1.2,0.8,0.7,1.1,2.7,12.2,4
Manu Ginobili,https://www.basketball-reference.com/players/g/ginobma01.html,65,20,3.1,7.1,0.434,1,3,0.333,2.1,4.2,0.506,0.503,1.7,2,0.84,0.3,1.9,2.2,2.5,0.7,0.2,1.6,1.9,8.9,2
Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html,58,32.9,6.5,14.9,0.434,2,5.9,0.336,4.5,9,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1,0.8,1.8,1.9,17.6,4
Eric Gordon,https://www.basketball-reference.com/players/g/gordoer01.html,69,31.2,6,14.1,0.428,3.2,8.8,0.359,2.9,5.2,0.544,0.54,2.8,3.5,0.809,0.4,2.1,2.5,2.2,0.6,0.4,1.9,1.7,18,2
Treveon Graham,https://www.basketball-reference.com/players/g/grahatr01.html,63,16.7,1.5,3.5,0.434,0.6,1.5,0.412,0.9,2,0.452,0.525,0.7,0.9,0.695,0.7,1.3,1.9,0.9,0.5,0,0.4,1.7,4.3,2
Jerami Grant,https://www.basketball-reference.com/players/g/grantje01.html,81,20.3,3,5.6,0.535,0.4,1.4,0.291,2.6,4.3,0.613,0.57,2,3,0.675,1.1,2.9,3.9,0.7,0.4,1,0.7,1.9,8.4,4
Jerian Grant,https://www.basketball-reference.com/players/g/grantje02.html,74,22.8,2.8,6.8,0.415,0.8,2.5,0.324,2,4.3,0.468,0.475,1.9,2.5,0.745,0.4,1.9,2.3,4.6,0.9,0.1,1.2,1.8,8.4,1
Danny Green,https://www.basketball-reference.com/players/g/greenda02.html,70,25.6,3.1,8,0.387,1.7,4.6,0.363,1.4,3.4,0.419,0.49,0.7,0.9,0.769,0.6,3,3.6,1.6,0.9,1.1,1.1,1.7,8.6,2
Draymond Green,https://www.basketball-reference.com/players/g/greendr01.html,70,32.7,4,8.8,0.454,1.1,3.7,0.301,2.9,5.2,0.562,0.516,1.9,2.5,0.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11,4
JaMychal Green,https://www.basketball-reference.com/players/g/greenja01.html,55,28,4.1,8.9,0.457,0.8,2.3,0.339,3.3,6.6,0.499,0.501,1.5,2,0.721,2.7,5.8,8.4,1.4,0.6,0.5,1.4,2.8,10.3,4
Jeff Green,https://www.basketball-reference.com/players/g/greenje02.html,78,23.4,3.8,7.9,0.477,0.7,2.2,0.312,3.1,5.7,0.54,0.52,2.6,3,0.868,0.8,2.4,3.2,1.3,0.5,0.4,1,1.9,10.8,4
Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html,58,34,7.5,17.2,0.438,1.9,5.6,0.345,5.6,11.6,0.482,0.493,4.5,5.7,0.785,1.3,6.1,7.4,5.8,0.7,0.3,2.8,2.4,21.4,4
James Harden,https://www.basketball-reference.com/players/h/hardati02.html,57,33.1,6.3,15,0.421,2.3,7.2,0.317,4,7.8,0.516,0.496,2.6,3.1,0.816,0.6,3.4,3.9,2.7,1.1,0.2,1.6,2.2,17.5,2
