Name,Url,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
Timothe Luwawu-Cabarrot,https://www.basketball-reference.com/players/l/luwawti01.html,52,15.5,1.9,5.1,0.375,1,3,0.335,0.9,2.1,0.431,0.474,0.9,1.1,0.793,0.3,1.1,1.4,1,0.2,0.1,0.7,1.9,5.8,3
Trey Lyles,https://www.basketball-reference.com/players/l/lylestr01.html,73,19.1,3.7,7.5,0.491,1.1,3,0.381,2.6,4.5,0.563,0.566,1.4,2,0.697,0.8,4,4.8,1.2,0.4,0.5,0.8,1.5,9.9,4
Shelvin Mack,https://www.basketball-reference.com/players/m/macksh01.html,69,19.8,2.6,6,0.43,0.7,2,0.345,1.9,4,0.473,0.488,1,1.4,0.711,0.3,2.1,2.4,3.9,0.8,0.1,1.3,1.3,6.9,1
Ian Mahinmi,https://www.basketball-reference.com/players/m/mahinia01.html,77,14.9,1.8,3.2,0.556,0,0,0,1.8,3.2,0.561,0.556,1.2,1.7,0.703,1.8,2.3,4.1,0.7,0.5,0.5,1.3,3,4.8,5
Thon Maker,https://www.basketball-reference.com/players/m/makerth01.html,74,16.7,1.8,4.3,0.411,0.4,1.4,0.298,1.3,2.9,0.467,0.46,0.9,1.3,0.699,1,2,3,0.6,0.5,0.7,0.6,2.2,4.8,5
Lauri Markkanen,https://www.basketball-reference.com/players/m/markkla01.html,68,29.7,5.5,12.7,0.434,2.1,5.9,0.362,3.4,6.8,0.497,0.518,2.1,2.4,0.843,1.2,6.3,7.5,1.2,0.6,0.6,1.2,1.5,15.2,4
Jarell Martin,https://www.basketball-reference.com/players/m/martija01.html,73,22.8,3,6.8,0.446,0.5,1.3,0.347,2.6,5.5,0.47,0.48,1.2,1.6,0.767,1.3,3,4.4,1,0.5,0.7,1.2,2.9,7.7,4
Frank Mason,https://www.basketball-reference.com/players/m/masonfr01.html,52,18.9,2.8,7.3,0.379,0.6,1.7,0.36,2.2,5.7,0.384,0.42,1.8,2.2,0.817,0.6,1.9,2.5,2.8,0.7,0.2,1.3,1.4,7.9,1
Wesley Matthews,https://www.basketball-reference.com/players/m/matthwe02.html,63,33.8,4.5,11.1,0.406,2.4,6.4,0.381,2.1,4.7,0.441,0.516,1.3,1.6,0.822,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7,3
Luc Mbah a Moute,https://www.basketball-reference.com/players/m/mbahalu01.html,61,25.6,2.7,5.7,0.481,1,2.8,0.364,1.7,2.8,0.599,0.572,1.1,1.6,0.684,0.4,2.7,3,0.9,1.2,0.4,1.1,1.6,7.5,4
Patrick McCaw,https://www.basketball-reference.com/players/m/mccawpa01.html,57,16.9,1.6,3.9,0.409,0.3,1.4,0.238,1.3,2.5,0.503,0.451,0.5,0.6,0.765,0.3,1.2,1.4,1.4,0.8,0.2,0.7,1.2,4,2
CJ McCollum,https://www.basketball-reference.com/players/m/mccolcj01.html,81,36.1,8.2,18.6,0.443,2.3,5.9,0.397,5.9,12.7,0.465,0.506,2.6,3.1,0.836,0.7,3.3,4,3.4,1,0.4,1.9,2.1,21.4,2
T.J. McConnell,https://www.basketball-reference.com/players/m/mccontj01.html,76,22.4,2.8,5.5,0.499,0.4,0.8,0.435,2.4,4.7,0.51,0.531,0.4,0.5,0.795,0.5,2.5,3,4,1.2,0.2,1.5,1.6,6.3,1
Doug McDermott,https://www.basketball-reference.com/players/m/mcderdo01.html,81,21.8,2.9,6.3,0.467,1.1,2.7,0.426,1.8,3.6,0.497,0.557,0.8,1,0.79,0.5,2,2.5,1,0.2,0.2,0.7,1.5,7.8,3
JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html,65,9.5,2.1,3.4,0.621,0,0.1,0,2.1,3.3,0.638,0.621,0.6,0.8,0.731,0.9,1.7,2.6,0.5,0.3,0.9,0.4,1.4,4.8,5
Ben McLemore,https://www.basketball-reference.com/players/m/mclembe01.html,56,19.5,2.8,6.7,0.421,1,2.8,0.346,1.8,3.8,0.477,0.495,0.9,1.1,0.828,0.6,1.9,2.5,0.9,0.7,0.3,1.1,2.5,7.5,2
Jodie Meeks,https://www.basketball-reference.com/players/m/meeksjo01.html,77,14.5,2,5.1,0.399,0.9,2.7,0.343,1.1,2.4,0.464,0.491,1.3,1.5,0.863,0.2,1.4,1.6,0.9,0.4,0.1,0.5,0.7,6.3,2
Salah Mejri,https://www.basketball-reference.com/players/m/mejrisa01.html,61,12,1.4,2.2,0.642,0,0,0,1.4,2.2,0.657,0.642,0.6,1.1,0.576,1.4,2.6,4,0.6,0.4,1.1,0.6,2,3.5,5
Khris Middleton,https://www.basketball-reference.com/players/m/middlkh01.html,82,36.4,7.2,15.5,0.466,1.8,5,0.359,5.5,10.5,0.517,0.524,3.9,4.4,0.884,0.5,4.7,5.2,4,1.5,0.3,2.3,3.3,20.1,3
C.J. Miles,https://www.basketball-reference.com/players/m/milescj01.html,70,19.1,3.2,8.6,0.379,2.3,6.5,0.361,0.9,2.1,0.434,0.516,1.2,1.4,0.835,0.3,1.9,2.2,0.8,0.5,0.3,0.6,1.9,10,3
Darius Miller,https://www.basketball-reference.com/players/m/milleda01.html,82,23.7,2.6,5.9,0.444,1.8,4.4,0.411,0.8,1.6,0.535,0.594,0.7,0.8,0.866,0.2,1.8,2,1.4,0.3,0.2,0.7,2,7.8,3
Patty Mills,https://www.basketball-reference.com/players/m/millspa02.html,82,25.7,3.4,8.3,0.411,1.9,5,0.372,1.5,3.3,0.47,0.523,1.3,1.4,0.89,0.3,1.6,1.9,2.8,0.7,0.1,1.3,1.6,10,1
Nikola Mirotic,https://www.basketball-reference.com/players/m/mirotni01.html,55,27.2,5.6,12.4,0.447,2.5,6.5,0.377,3.1,5.9,0.525,0.546,2,2.5,0.818,1.1,6.3,7.4,1.5,0.8,0.7,1.1,2,15.6,4
Donovan Mitchell,https://www.basketball-reference.com/players/m/mitchdo01.html,79,33.4,7.5,17.2,0.437,2.4,7,0.34,5.2,10.3,0.502,0.506,3,3.8,0.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,2.7,20.5,2
Malik Monk,https://www.basketball-reference.com/players/m/monkma01.html,63,13.6,2.4,6.7,0.36,1.3,3.9,0.342,1.1,2.9,0.385,0.458,0.5,0.6,0.842,0.1,0.9,1,1.4,0.3,0.1,0.8,0.9,6.7,2
E'Twaun Moore,https://www.basketball-reference.com/players/m/mooreet01.html,82,31.5,5.2,10.1,0.508,1.6,3.7,0.425,3.6,6.5,0.556,0.585,0.6,0.8,0.706,0.7,2.2,2.9,2.3,1,0.1,1.2,2.2,12.5,2
Marcus Morris,https://www.basketball-reference.com/players/m/morrima03.html,54,26.8,4.9,11.3,0.429,1.6,4.3,0.368,3.3,7,0.467,0.499,2.3,2.9,0.805,0.8,4.6,5.4,1.3,0.6,0.2,1.2,1.9,13.6,4
Markieff Morris,https://www.basketball-reference.com/players/m/morrima02.html,73,27,4.5,9.4,0.48,1,2.8,0.367,3.5,6.6,0.529,0.536,1.4,1.8,0.82,1,4.6,5.6,1.9,0.8,0.5,1.7,3,11.5,4
Emmanuel Mudiay,https://www.basketball-reference.com/players/m/mudiaem01.html,64,19.5,3.2,8.2,0.388,0.7,2.3,0.318,2.5,5.9,0.415,0.433,1.5,2,0.76,0.4,2,2.4,3.2,0.6,0.2,1.8,1.3,8.6,1
Dejounte Murray,https://www.basketball-reference.com/players/m/murrade01.html,81,21.5,3.3,7.5,0.443,0.1,0.4,0.265,3.2,7.1,0.454,0.451,1.3,1.8,0.709,1.4,4.3,5.7,2.9,1.2,0.4,1.7,1.9,8.1,1
Jamal Murray,https://www.basketball-reference.com/players/m/murraja01.html,81,31.7,5.9,13.1,0.451,2,5.4,0.378,3.9,7.7,0.502,0.529,2.8,3.1,0.905,1,2.7,3.7,3.4,1,0.3,2.1,2.1,16.7,1
Mike Muscala,https://www.basketball-reference.com/players/m/muscami01.html,53,20,2.7,5.9,0.458,1.2,3.2,0.371,1.5,2.7,0.559,0.558,1.1,1.2,0.919,1.1,3.3,4.3,1,0.6,0.5,0.8,1.5,7.6,5
Shabazz Napier,https://www.basketball-reference.com/players/n/nancela02.html,66,21.5,3.6,6.3,0.581,0,0.2,0.167,3.6,6.1,0.594,0.584,1.4,2.1,0.664,2.4,4.4,6.8,1.2,1.3,0.6,0.8,2.6,8.7,5
Jameer Nelson,https://www.basketball-reference.com/players/n/napiesh01.html,74,20.7,3,7.2,0.42,1.1,2.9,0.376,1.9,4.2,0.45,0.497,1.6,1.9,0.841,0.4,1.9,2.3,2,1.1,0.2,1.2,1.1,8.7,1
Frank Ntilikina,https://www.basketball-reference.com/players/n/nowitdi01.html,77,24.7,4.5,9.8,0.456,1.8,4.4,0.409,2.7,5.5,0.494,0.547,1.3,1.4,0.898,0.3,5.4,5.7,1.6,0.6,0.6,0.7,1.9,12,5
Jusuf Nurkic,https://www.basketball-reference.com/players/n/ntilila01.html,78,21.9,2.3,6.4,0.364,0.6,2,0.318,1.7,4.4,0.385,0.414,0.6,0.9,0.721,0.5,1.8,2.3,3.2,0.8,0.2,1.7,2.3,5.9,1
David Nwaba,https://www.basketball-reference.com/players/n/nurkiju01.html,79,26.4,6.1,12,0.505,0,0.1,0,6.1,11.9,0.508,0.505,2.2,3.5,0.63,2.4,6.6,9,1.8,0.8,1.4,2.3,3.1,14.3,5
Royce O'Neale,https://www.basketball-reference.com/players/o/onealro01.html,69,16.7,1.7,4.1,0.423,0.6,1.7,0.356,1.1,2.4,0.47,0.496,0.9,1.1,0.803,0.4,3.1,3.4,1.4,0.5,0.2,0.8,1.5,5,3
Kyle O'Quinn,https://www.basketball-reference.com/players/o/oquinky01.html,77,18,2.9,5,0.582,0.1,0.2,0.235,2.9,4.8,0.598,0.587,1.3,1.6,0.772,1.6,4.5,6.1,2.1,0.5,1.3,1.3,2.5,7.1,5
Semi Ojeleye,https://www.basketball-reference.com/players/o/ojelese01.html,73,15.8,0.9,2.6,0.346,0.5,1.7,0.32,0.3,0.9,0.397,0.452,0.3,0.6,0.61,0.5,1.7,2.2,0.3,0.3,0.1,0.3,1.2,2.7,4
Victor Oladipo,https://www.basketball-reference.com/players/o/oladivi01.html,75,34,8.5,17.9,0.477,2.1,5.8,0.371,6.4,12.1,0.528,0.537,3.9,4.9,0.799,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3,23.1,2
Kelly Olynyk,https://www.basketball-reference.com/players/o/olynyke01.html,76,23.4,4.2,8.4,0.497,1.4,3.7,0.379,2.8,4.7,0.59,0.58,1.8,2.3,0.77,1.2,4.5,5.7,2.7,0.8,0.5,1.9,2.9,11.5,4
Cedi Osman,https://www.basketball-reference.com/players/o/osmande01.html,61,11,1.5,3,0.484,0.5,1.4,0.368,1,1.6,0.586,0.57,0.4,0.8,0.565,0.3,1.7,2,0.7,0.4,0,0.5,1.3,3.9,3
Kelly Oubre,https://www.basketball-reference.com/players/o/oubreke01.html,81,27.5,3.9,9.8,0.403,1.6,4.6,0.341,2.4,5.2,0.456,0.482,2.4,2.9,0.82,0.7,3.8,4.5,1.2,1,0.4,1.1,2.9,11.8,3
Zaza Pachulia,https://www.basketball-reference.com/players/p/pachuza01.html,69,14.1,2.2,3.8,0.564,0,0,0,2.2,3.8,0.567,0.564,1.1,1.3,0.806,1.3,3.4,4.7,1.6,0.6,0.2,1,1.8,5.4,5
Tony Parker,https://www.basketball-reference.com/players/p/parketo01.html,55,19.5,3.2,7.1,0.459,0.2,0.7,0.27,3.1,6.4,0.479,0.472,1,1.4,0.705,0.1,1.6,1.7,3.5,0.5,0,1.2,0.9,7.7,1
Patrick Patterson,https://www.basketball-reference.com/players/p/pattepa01.html,82,15.5,1.3,3.2,0.398,0.8,2.1,0.386,0.5,1.2,0.421,0.523,0.5,0.6,0.87,0.4,2,2.4,0.7,0.6,0.3,0.4,1.1,3.9,4
Brandon Paul,https://www.basketball-reference.com/players/p/paulbr01.html,64,9,0.9,2,0.433,0.2,0.8,0.278,0.6,1.1,0.548,0.492,0.3,0.7,0.512,0.1,1,1.1,0.6,0.4,0.1,0.5,0.9,2.3,2
Chris Paul,https://www.basketball-reference.com/players/p/paulch01.html,58,31.8,6.3,13.8,0.46,2.5,6.5,0.38,3.8,7.2,0.532,0.55,3.5,3.8,0.919,0.6,4.8,5.4,7.9,1.7,0.2,2.2,2.4,18.6,1
Elfrid Payton,https://www.basketball-reference.com/players/p/paytoel01.html,63,28.7,5.2,10.6,0.493,0.5,1.5,0.326,4.7,9.1,0.52,0.516,1.7,2.7,0.649,1,3.3,4.3,6.2,1.3,0.3,2.7,2.3,12.7,1
Miles Plumlee,https://www.basketball-reference.com/players/p/plumlma01.html,74,19.4,3,5,0.601,0,0,0,3,5,0.602,0.601,1.1,2.4,0.456,1.8,3.6,5.4,1.9,0.7,1.1,1.4,2.5,7.1,5
Quincy Pondexter,https://www.basketball-reference.com/players/p/poeltja01.html,82,18.6,3.1,4.7,0.659,0,0,0.5,3.1,4.7,0.66,0.66,0.7,1.2,0.594,2,2.8,4.8,0.7,0.5,1.2,1,2.6,6.9,5
Bobby Portis,https://www.basketball-reference.com/players/p/porteot01.html,77,31.6,5.8,11.5,0.503,1.8,4.1,0.441,4,7.4,0.537,0.581,1.4,1.7,0.828,1.3,5.1,6.4,2,1.5,0.5,1,2,14.7,3
Kristaps Porzingis,https://www.basketball-reference.com/players/p/portibo01.html,73,22.5,5.2,11.1,0.471,1.1,3.1,0.359,4.1,8.1,0.514,0.52,1.6,2.1,0.769,2.2,4.6,6.8,1.7,0.7,0.3,1.4,1.8,13.2,4
Norman Powell,https://www.basketball-reference.com/players/p/poweldw01.html,79,21.2,3.2,5.4,0.593,0.4,1.1,0.333,2.9,4.4,0.656,0.626,1.7,2.3,0.719,1.7,3.9,5.6,1.2,0.8,0.4,0.7,2.4,8.5,5
Alex Poythress,https://www.basketball-reference.com/players/p/powelno01.html,70,15.2,2.1,5.3,0.401,0.8,2.7,0.285,1.4,2.7,0.516,0.472,0.5,0.6,0.821,0.2,1.5,1.7,1.3,0.5,0.2,0.9,1.6,5.5,2
Julius Randle,https://www.basketball-reference.com/players/r/randlju01.html,82,26.7,6.1,11,0.558,0.1,0.5,0.222,6,10.5,0.575,0.563,3.7,5.2,0.718,2.2,5.8,8,2.6,0.5,0.5,2.6,3.3,16.1,5
Zach Randolph,https://www.basketball-reference.com/players/r/randoza01.html,59,25.6,6.1,12.9,0.473,0.9,2.5,0.347,5.3,10.4,0.503,0.507,1.4,1.8,0.785,1.6,5.1,6.7,2.2,0.7,0.2,2,2,14.5,4
J.J. Redick,https://www.basketball-reference.com/players/r/redicjj01.html,70,30.2,5.8,12.6,0.46,2.8,6.6,0.42,3,6,0.504,0.569,2.8,3.1,0.904,0.1,2.4,2.5,3,0.5,0.1,1.5,1.8,17.1,2
Josh Richardson,https://www.basketball-reference.com/players/r/richajo01.html,81,33.2,4.9,10.9,0.451,1.6,4.1,0.378,3.4,6.8,0.495,0.523,1.5,1.8,0.845,0.9,2.7,3.5,2.9,1.5,0.9,1.7,2.5,12.9,3
Austin Rivers,https://www.basketball-reference.com/players/r/riverau01.html,61,33.7,5.6,13.2,0.424,2.2,5.9,0.378,3.4,7.3,0.461,0.508,1.7,2.6,0.642,0.4,1.9,2.4,4,1.2,0.3,1.8,2.5,15.1,2
Derrick Rose,https://www.basketball-reference.com/players/r/rondora01.html,65,26.2,3.6,7.6,0.468,0.8,2.3,0.333,2.8,5.3,0.526,0.518,0.4,0.7,0.543,0.5,3.6,4,8.2,1.1,0.2,2.3,1.8,8.3,1
Ricky Rubio,https://www.basketball-reference.com/players/r/roziete01.html,80,25.9,4,10,0.395,1.9,5,0.381,2,5,0.41,0.491,1.4,1.9,0.772,0.8,3.9,4.7,2.9,1,0.2,1,1.5,11.3,1
D'Angelo Russell,https://www.basketball-reference.com/players/r/rubiori01.html,77,29.3,4.5,10.7,0.418,1.2,3.5,0.352,3.2,7.2,0.451,0.476,2.9,3.3,0.866,0.6,4,4.6,5.3,1.6,0.1,2.7,2.7,13.1,1
Domantas Sabonis,https://www.basketball-reference.com/players/s/sabondo01.html,74,24.5,4.6,8.9,0.514,0.2,0.5,0.351,4.4,8.4,0.524,0.524,2.3,3,0.75,2.2,5.5,7.7,2,0.5,0.4,1.9,3,11.6,5
Dario Saric,https://www.basketball-reference.com/players/s/saricda01.html,78,29.6,5.2,11.4,0.453,2,5.1,0.393,3.2,6.3,0.501,0.541,2.3,2.7,0.86,2,4.7,6.7,2.6,0.7,0.3,1.9,2.1,14.6,4
Tomas Satoransky,https://www.basketball-reference.com/players/s/satorto01.html,73,22.5,2.8,5.3,0.523,0.6,1.4,0.465,2.1,3.9,0.544,0.585,1,1.3,0.781,1,2.2,3.2,3.9,0.7,0.2,1.1,1.8,7.2,2
Dennis Schroder,https://www.basketball-reference.com/players/s/schrode01.html,67,31,7.5,17.1,0.436,1.1,3.9,0.29,6.3,13.2,0.48,0.469,3.4,4,0.849,0.7,2.4,3.1,6.2,1.1,0.1,2.7,2.2,19.4,1
Mike Scott,https://www.basketball-reference.com/players/s/scottmi01.html,76,18.5,3.6,6.9,0.527,0.9,2.1,0.405,2.8,4.8,0.582,0.59,0.7,1,0.658,0.7,2.6,3.3,1.1,0.3,0.1,1,1.9,8.8,4
Pascal Siakam,https://www.basketball-reference.com/players/s/siakapa01.html,81,20.7,3.1,6.1,0.508,0.4,1.6,0.22,2.8,4.5,0.612,0.537,0.7,1.1,0.621,1,3.5,4.5,2,0.8,0.5,0.8,2,7.3,4
Ben Simmons,https://www.basketball-reference.com/players/s/simmobe01.html,81,33.7,6.7,12.3,0.545,0,0.1,0,6.7,12.2,0.551,0.545,2.4,4.2,0.56,1.8,6.3,8.1,8.2,1.7,0.9,3.4,2.6,15.8,1
Jonathon Simmons,https://www.basketball-reference.com/players/s/simmojo02.html,69,29.4,5.1,11,0.465,1,3,0.338,4.1,8.1,0.512,0.511,2.7,3.5,0.768,0.9,2.6,3.5,2.5,0.8,0.2,2.1,2.5,13.9,2
Marcus Smart,https://www.basketball-reference.com/players/s/smartma01.html,54,29.9,3.5,9.5,0.367,1.4,4.6,0.301,2.1,4.9,0.429,0.44,1.8,2.5,0.729,0.8,2.7,3.5,4.8,1.3,0.4,2.4,2.5,10.2,2
Dennis Smith,https://www.basketball-reference.com/players/s/smithde03.html,69,29.7,5.9,14.8,0.395,1.5,4.9,0.313,4.3,9.9,0.436,0.447,1.9,2.8,0.694,0.7,3,3.8,5.2,1,0.3,2.8,2.2,15.2,1
Ish Smith,https://www.basketball-reference.com/players/s/smithis01.html,82,24.9,4.7,9.8,0.486,0.4,1.2,0.347,4.3,8.5,0.506,0.507,1,1.4,0.698,0.3,2.4,2.7,4.4,0.8,0.2,1.3,1.7,10.9,1
J.R. Smith,https://www.basketball-reference.com/players/s/smithjr01.html,80,28.1,3,7.4,0.403,1.8,4.8,0.375,1.2,2.7,0.453,0.524,0.5,0.7,0.696,0.4,2.6,2.9,1.8,0.9,0.1,1,2,8.3,2
Tony Snell,https://www.basketball-reference.com/players/s/snellto01.html,75,27.4,2.5,5.7,0.435,1.4,3.6,0.403,1,2.1,0.49,0.562,0.5,0.6,0.792,0.1,1.8,1.9,1.3,0.6,0.4,0.5,1.5,6.9,2
Marreese Speights,https://www.basketball-reference.com/players/s/speigma01.html,52,13,2.7,6.7,0.395,1.7,4.5,0.369,1,2.2,0.448,0.519,0.8,1.1,0.727,0.4,2.2,2.6,0.8,0.2,0.4,0.8,2.1,7.7,5
Lance Stephenson,https://www.basketball-reference.com/players/s/stephla01.html,82,22.6,3.7,8.6,0.427,0.8,2.8,0.289,2.9,5.8,0.495,0.475,1,1.5,0.661,0.8,4.4,5.2,2.9,0.6,0.2,1.6,2.2,9.2,2
Jayson Tatum,https://www.basketball-reference.com/players/t/tatumja01.html,80,30.5,5,10.4,0.475,1.3,3,0.434,3.7,7.4,0.492,0.538,2.7,3.2,0.826,0.6,4.4,5,1.6,1,0.7,1.4,2.1,13.9,3
Isaiah Taylor,https://www.basketball-reference.com/players/t/taylois01.html,67,17.4,2.4,5.8,0.418,0.3,1.2,0.25,2.1,4.6,0.461,0.444,1.5,2.1,0.702,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,6.6,1
Jeff Teague,https://www.basketball-reference.com/players/t/teaguje01.html,70,33,5.1,11.3,0.446,1.2,3.3,0.368,3.9,8.1,0.477,0.499,2.9,3.4,0.845,0.3,2.6,3,7,1.5,0.3,2.5,2.4,14.2,1
Garrett Temple,https://www.basketball-reference.com/players/t/templga01.html,65,24.8,3.1,7.3,0.418,1.4,3.5,0.392,1.7,3.8,0.442,0.512,0.9,1.2,0.769,0.3,2,2.3,1.9,0.9,0.4,1.2,2.1,8.4,2
Jason Terry,https://www.basketball-reference.com/players/t/terryja01.html,51,16,1.2,3,0.383,0.8,2.3,0.348,0.4,0.8,0.487,0.513,0.2,0.2,0.889,0.1,0.8,0.9,1.2,0.8,0.3,0.5,1,3.3,2
Daniel Theis,https://www.basketball-reference.com/players/t/theisda01.html,63,14.9,2,3.7,0.541,0.3,0.9,0.31,1.7,2.8,0.617,0.579,1,1.3,0.753,1.4,2.9,4.3,0.9,0.5,0.8,0.9,2.5,5.3,5
Lance Thomas,https://www.basketball-reference.com/players/t/thomala01.html,73,18.5,1.4,3.7,0.382,0.7,1.7,0.403,0.7,2,0.364,0.476,0.6,0.7,0.83,0.6,1.8,2.4,0.6,0.4,0.2,0.5,1.8,4.1,4
Klay Thompson,https://www.basketball-reference.com/players/t/thompkl01.html,73,34.3,7.9,16.1,0.488,3.1,7.1,0.44,4.7,9,0.526,0.585,1.1,1.3,0.837,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6,20,2
Sindarius Thornwell,https://www.basketball-reference.com/players/t/thornsi01.html,73,15.8,1.4,3.2,0.429,0.3,0.8,0.377,1.1,2.4,0.448,0.479,0.8,1.2,0.67,0.5,1.5,1.9,0.9,0.7,0.3,0.7,1.7,3.9,2
Anthony Tolliver,https://www.basketball-reference.com/players/t/tollian01.html,79,22.2,2.8,6,0.464,2,4.6,0.436,0.8,1.4,0.561,0.632,1.3,1.7,0.797,0.6,2.4,3.1,1.1,0.4,0.3,0.7,1.8,8.9,4
Karl-Anthony Towns,https://www.basketball-reference.com/players/t/townska01.html,82,35.6,7.8,14.3,0.545,1.5,3.5,0.421,6.3,10.8,0.585,0.596,4.2,4.9,0.858,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,21.3,5
P.J. Tucker,https://www.basketball-reference.com/players/t/tuckepj01.html,82,27.8,2.1,5.4,0.39,1.4,3.8,0.371,0.7,1.6,0.435,0.52,0.5,0.7,0.717,1.1,4.4,5.6,0.9,1,0.3,0.9,2.5,6.1,4
Evan Turner,https://www.basketball-reference.com/players/t/turneev01.html,79,25.7,3.3,7.3,0.447,0.5,1.7,0.318,2.7,5.6,0.485,0.484,1.2,1.4,0.85,0.4,2.7,3.1,2.2,0.6,0.4,1.3,2.1,8.2,3
Myles Turner,https://www.basketball-reference.com/players/t/turnemy01.html,65,28.2,4.7,9.8,0.479,0.9,2.4,0.357,3.8,7.4,0.519,0.523,2.5,3.2,0.777,1.4,5,6.4,1.3,0.6,1.8,1.5,2.9,12.7,5
Ekpe Udoh,https://www.basketball-reference.com/players/u/udohek01.html,63,12.9,1,1.9,0.5,0,0,0,1,1.9,0.504,0.5,0.7,0.9,0.75,1.1,1.3,2.4,0.8,0.7,1.2,0.3,1.7,2.6,5
Tyler Ulis,https://www.basketball-reference.com/players/u/ulisty01.html,71,23.4,3,7.8,0.388,0.6,2.1,0.288,2.4,5.7,0.425,0.426,1.2,1.4,0.832,0.3,1.5,1.8,4.4,1,0.1,1.8,1.7,7.8,1
Jonas Valanciunas,https://www.basketball-reference.com/players/v/valanjo01.html,77,22.4,5.1,8.9,0.568,0.4,1,0.405,4.7,8,0.587,0.59,2.2,2.7,0.806,2.4,6.2,8.6,1.1,0.4,0.9,1.5,2.5,12.7,5
Denzel Valentine,https://www.basketball-reference.com/players/v/valende01.html,77,27.2,3.9,9.4,0.417,1.9,4.8,0.386,2.1,4.6,0.45,0.517,0.5,0.7,0.745,0.6,4.5,5.1,3.2,0.8,0.1,1.3,2.4,10.2,2
Fred VanVleet,https://www.basketball-reference.com/players/v/vanvlfr01.html,76,20,3.1,7.2,0.426,1.4,3.4,0.414,1.6,3.7,0.437,0.525,1.1,1.3,0.832,0.3,2.1,2.4,3.2,0.9,0.3,1,1.7,8.6,1
Noah Vonleh,https://www.basketball-reference.com/players/v/vonleno01.html,54,16.2,1.9,4.3,0.444,0.4,1.2,0.303,1.6,3.1,0.5,0.487,0.7,1.1,0.621,1.3,4.5,5.8,0.6,0.4,0.3,0.6,1.3,4.9,4
Nikola Vucevic,https://www.basketball-reference.com/players/v/vucevni01.html,57,29.5,7,14.7,0.475,1.1,3.6,0.314,5.9,11.2,0.527,0.513,1.4,1.6,0.819,1.8,7.4,9.2,3.4,1,1.1,1.9,2.5,16.5,5
Dwyane Wade,https://www.basketball-reference.com/players/w/wadedw01.html,67,22.9,4.5,10.2,0.438,0.5,1.7,0.288,4,8.5,0.468,0.462,2,2.8,0.714,0.7,3,3.8,3.4,0.9,0.7,2.1,1.9,11.4,2
Kemba Walker,https://www.basketball-reference.com/players/w/walkeke02.html,80,34.2,7.4,17,0.431,2.9,7.5,0.384,4.5,9.5,0.469,0.516,4.5,5.3,0.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,22.1,1
Taurean Waller-Prince,https://www.basketball-reference.com/players/p/princta02.html,82,30,5.1,11.9,0.426,2.1,5.6,0.385,2.9,6.3,0.461,0.516,1.9,2.2,0.844,0.6,4.1,4.7,2.6,1,0.5,2.3,2,14.1,3
T.J. Warren,https://www.basketball-reference.com/players/w/warretj01.html,65,33,8.1,16.4,0.498,0.3,1.4,0.222,7.8,15,0.523,0.507,3,3.9,0.757,1.9,3.2,5.1,1.3,1,0.6,1.3,2.3,19.6,3
David West,https://www.basketball-reference.com/players/w/westda01.html,73,13.7,3,5.2,0.571,0,0.1,0.375,2.9,5.1,0.576,0.575,0.8,1.1,0.759,0.9,2.4,3.3,1.9,0.6,1,1.1,1.6,6.8,5
Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html,80,36.4,9.5,21.1,0.449,1.2,4.1,0.298,8.3,17,0.485,0.477,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,1
Hassan Whiteside,https://www.basketball-reference.com/players/w/whiteha01.html,54,25.3,5.8,10.7,0.54,0,0,1,5.7,10.7,0.538,0.542,2.4,3.4,0.703,3.2,8.2,11.4,1,0.7,1.7,1.7,2.4,14,5
Andrew Wiggins,https://www.basketball-reference.com/players/w/wiggian01.html,82,36.3,6.9,15.9,0.438,1.4,4.1,0.331,5.6,11.7,0.475,0.481,2.5,3.8,0.643,1,3.4,4.4,2,1.1,0.6,1.7,2,17.7,3
Lou Williams,https://www.basketball-reference.com/players/w/willilo02.html,79,32.8,7.4,16.9,0.435,2.4,6.6,0.359,5,10.4,0.484,0.505,5.5,6.2,0.88,0.5,2,2.5,5.3,1.1,0.2,3,1.3,22.6,2
Marvin Williams,https://www.basketball-reference.com/players/w/willima02.html,78,25.7,3.3,7.2,0.458,1.6,3.9,0.413,1.7,3.3,0.512,0.57,1.3,1.6,0.829,0.9,3.8,4.7,1.2,0.7,0.5,0.8,1.5,9.5,4
